title,artist,artist nationality,sitter,is_self_portrait,sitter gender,size,date,thumbnail,mediaURLs
A. Laurason,Jean Francois De Vallee (active 1794-1828),French,A. Laurason,FALSE,Male,Miniature,ca. 1805,"https://ids.si.edu/ids/iiif/SAAM-1958.5.4_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1958.5.4_1]
Alexander Hamilton,John Trumbull (b. 6 Jun 1756; d. 10 Nov 1843),American,Alexander Hamilton (b. 11 Jan 1757; d. 11 Jul 1804),FALSE,Male,Regular,1806,"https://ids.si.edu/ids/iiif/NPG-NPG_79_216Hamilton_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_79_216Hamilton_d1]
Alexander Rose,"Pierre Henri (b. Paris, France ca. 1760; d. NY 1822)",French,Alexander Rose,FALSE,Male,Miniature,ca. 1788,"https://ids.si.edu/ids/iiif/SAAM-1946.11.6_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1946.11.6_1]
Andre Joseph Villard,"David Boudon (b. Geneva, Switzerland 1748; d. 1816; last known residence Chillicothe, OH)",Swiss,Andre Joseph Villard,FALSE,Male,Miniature,1810-1812,"https://ids.si.edu/ids/iiif/SAAM-1961.9.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1961.9.1_1]
Ann Elliott Morris,,,Ann Elliott Morris (b. 1763; d. 1848),FALSE,Female,Regular,ca. 1800,"https://ids.si.edu/ids/iiif/NPG-S_NPG_95_116Morris_int/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_95_116Morris_int]
Anne Hume Shippen,"Benjamin Trott (b. Boston, MA ca. 1770; d. Washington, DC 1843)",American,Anne Hume Shippen,FALSE,Female,Miniature,ca. 1796,"https://ids.si.edu/ids/iiif/SAAM-1999.87.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.1_1]
"Archibald Bulloch, Governor of Georgia",,,Archibald Bulloch,FALSE,Male,Miniature,ca. 1790,"https://ids.si.edu/ids/iiif/SAAM-1975.77.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.77.2_1]
Arthur St. Claire,,,Arthur St. Clair (b. 23 Mar 1737; d. 31 Aug 1818),FALSE,Male,Regular,ca. 1795,"https://ids.si.edu/ids/iiif/NPG-NPG_83_31StClaire-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_83_31StClaire-000001]
Augustus Fricke,"Jean Pierre Henri Elouis, ( (b. Caen, France 1755; d. Caen, France 1840)",French,Augustus Fricke,FALSE,Male,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1950.7.10_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.7.10_1]
Benjamin Franklin,Joseph Siffred Duplessis (22 Sep 1725-1 Apr 1802),French,Benjamin Franklin (b. 17 Jan 1706; d. 17 Apr 1790),FALSE,Male,Regular,ca. 1785,"https://ids.si.edu/ids/iiif/NPG-NPG_87_43/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_87_43]
"Benjamin Harrison, Jr.",Charles Willson Peale (b. 15 Apr 1741; d. 22 Feb 1827),American,"Benjamin Harrison (b. Jr., 1750?; d. 1799)",FALSE,Male,Regular,1783,"https://ids.si.edu/ids/iiif/NPG-S_NPG_65_109Harrison-000004/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_65_109Harrison-000004]
"Benjamin Hurd, Jr.","William M. S. Doyle (b. Boston, MA 1769; d. Boston, MA 1828)",American,Jr. Benjamin Hurd,FALSE,Male,Miniature,ca. 1804-1818,"https://ids.si.edu/ids/iiif/SAAM-1999.27.9_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.9_1]
Benjamin Latrobe,Charles Frederick Von Breda (b. 16 Aug 1759; d. 1 Dec 1818),Swedish,Benjamin Henry Latrobe (b. 1 May 1764; d. 3 Sep 1820),FALSE,Male,Regular,ca. 1790,"https://ids.si.edu/ids/iiif/NPG-NPG_2011_64Latrobe_int/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2011_64Latrobe_int]
Benjamin West,,,Benjamin West (b. 10 Oct 1738; d. 11 Mar 1820),FALSE,Male,Regular,1770,"https://ids.si.edu/ids/iiif/NPG-NPG_80_136West-000004/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_80_136West-000004]
Betsey Colt Foot,Ezra Ames (b. 1768; d. 1836),American,Betsey Colt Foot (b. 1774; d. 1847),FALSE,Female,Regular,1815,"https://ids.si.edu/ids/iiif/NPG-NPG_2016_132/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2016_132]
Brother-in-law of Mrs. Alexander Rose,"Archibald Robertson ( (b. Moneymusk, Scotland; d. New York 18350)",Scottish,Brother-in-Law of Mrs. Alex. Rose,FALSE,Male,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1933.7.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1933.7.2_1]
Caldwell Sister,"Charles Willson Peale (b. Queen Anne's County, MD 1741; d. Philadelphia, PA 1827)",American,Caldwell,FALSE,Female,Miniature,ca. 1782,"https://ids.si.edu/ids/iiif/SAAM-1999.27.31.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.31.2_1]
Caldwell Sister,"Charles Willson Peale (b. Queen Anne's County, MD 1741; d. Philadelphia, PA 1827)",American,Caldwell,FALSE,Female,Miniature,ca. 1782,"https://ids.si.edu/ids/iiif/SAAM-1999.27.31.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.31.1_1]
Capt. John Gassoway,"Charles Willson Peale (b. Queen Anne's County, MD 1741; d. Philadelphia, PA 1827)",American,John Gassoway,FALSE,Male,Miniature,ca. 1790,"https://ids.si.edu/ids/iiif/SAAM-1999.27.33_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.33_1]
Captain Charles McKnight,"Jacob Frymire (b. Lancaster County, PA ca. 1765; d. Hamilton Township, PA 1822)",American,Charles Mc Knight,FALSE,Male,Regular,1800,"https://ids.si.edu/ids/iiif/SAAM-1968.137_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1968.137_1]
Captain John H. Seward,,,Captain John H. Seward,FALSE,Male,Miniature,ca. 1790,"https://ids.si.edu/ids/iiif/SAAM-1983.21_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1983.21_1]
Captain Joseph Anthony,"Walter Robertson (b. Dublin, Ireland ca. 1750;d. Fatehpur, India 1801/02)",Irish,Joseph Anthony,FALSE,Male,Miniature,ca. 1794,"https://ids.si.edu/ids/iiif/SAAM-1952.12.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1952.12.1_1]
Captain Robert Lillibridge,"William Verstille (b. Boston, MA ca. 1755;d. Boston, MA 1803)",American,Robert Lillibridge,FALSE,Male,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1975.59.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.59.1_1]
Carter Braxton,,,Carter Braxton (b. 10 Sep 1736; d. 10 Oct 1797),FALSE,Male,Regular,ca. 1775,"https://ids.si.edu/ids/iiif/NPG-NPG_98_33Braxton-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_98_33Braxton-000001]
Charles Brockden Brown,"William Dunlap (b. 18 Feb 1766; d, 28 Sep 1839)",American,Charles Brockden Brown (b. 17 Jan 1771; d. 22 Feb 1810),FALSE,Male,Regular,1806,"https://ids.si.edu/ids/iiif/NPG-NPG_94_83Brown-000002/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_94_83Brown-000002]
Charles Cotesworth Pinckney,Henry Benbridge (b. 20 Oct 1743; d. 25 Jan 1812),American,Charles Cotesworth Pinckney (b. 25 Feb 1746; d. 25 Aug 1825),FALSE,Male,Regular,ca. 1773,"https://ids.si.edu/ids/iiif/NPG-NPG_67_1Pinckney_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_67_1Pinckney_d1]
Charles Cotesworth Pinckney,John Trumbull (b. 6 Jun 1756; d. 10 Nov 1843),American,Charles Cotesworth Pinckney (b. 25 Feb 1746; d. 25 Aug 1825),FALSE,Male,Regular,1791,"https://ids.si.edu/ids/iiif/NPG-NPG_2007_212/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2007_212]
